numeric,numeric
ID,x5
0,1
1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,0
9,1
10,0
11,0
12,1
13,1
14,0
15,1
16,1
17,0
18,1
19,1
20,1
21,1
22,1
23,0
24,0
25,1
26,1
27,1
28,0
29,0
30,1
31,0
32,1
33,0
34,1
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,1
50,1
51,0
52,0
53,0
54,1
55,1
56,0
57,0
58,0
59,1
60,0
61,1
62,0
63,0
64,1
65,0
66,1
67,1
68,1
69,1
70,1
71,1
72,0
73,1
74,0
75,0
76,1
77,1
78,0
79,0
80,1
81,0
82,1
83,0
84,1
85,0
86,1
87,1
88,1
89,1
90,0
91,0
92,1
93,0
94,0
95,0
96,1
97,1
98,0
99,0
100,1
101,1
102,0
103,0
104,1
105,0
106,0
107,0
108,0
109,1
110,1
111,0
112,0
113,0
114,0
115,0
116,0
117,1
118,1
119,0
120,0
121,0
122,1
123,0
124,1
125,1
126,0
127,0
128,1
129,1
130,1
131,0
132,1
133,1
134,1
135,1
136,1
137,0
138,0
139,1
140,1
141,0
142,1
143,1
144,1
145,1
146,1
147,1
148,0
149,0
150,0
151,1
152,1
153,0
154,1
155,1
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,1
166,1
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,1
175,0
176,1
177,1
178,1
179,0
180,1
181,0
182,0
183,0
184,1
185,0
186,1
187,0
188,0
189,1
190,0
191,0
192,0
193,1
194,1
195,1
196,0
197,1
198,0
199,1
200,0
201,0
202,0
203,0
204,0
205,0
206,1
207,1
208,1
209,1
210,0
211,0
212,1
213,0
214,0
215,1
216,0
217,0
218,1
219,1
220,1
221,0
222,0
223,1
224,0
225,1
226,0
227,0
228,0
229,1
230,1
231,1
232,0
233,0
234,0
235,1
236,1
237,1
238,0
239,1
240,0
241,0
242,0
243,0
244,0
245,0
246,1
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,1
255,1
256,0
257,1
258,1
259,0
260,1
261,0
262,1
263,1
264,1
265,1
266,0
267,0
268,1
269,0
270,1
271,1
272,1
273,0
274,0
275,1
276,1
277,0
278,0
279,0
280,0
281,1
282,1
283,1
284,1
285,1
286,1
287,0
288,1
289,0
290,0
291,1
292,1
293,1
294,0
295,1
296,1
297,0
298,1
299,1
300,0
301,1
302,0
303,1
304,1
305,0
306,1
307,1
308,1
309,0
310,0
311,1
312,1
313,1
314,0
315,1
316,1
317,0
318,1
319,0
320,1
321,1
322,0
323,0
324,0
325,1
326,1
327,0
328,0
329,0
330,0
331,1
332,1
333,0
334,1
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,1
345,1
346,1
347,1
348,0
349,0
350,0
351,0
352,1
353,0
354,0
355,1
356,1
357,0
358,1
359,0
360,0
361,1
362,1
363,0
364,0
365,1
366,0
367,0
368,1
369,0
370,0
371,0
372,1
373,0
374,0
375,1
376,0
377,0
378,1
379,0
380,1
381,1
382,1
383,1
384,1
385,0
386,0
387,0
388,0
389,1
390,1
391,1
392,0
393,0
394,1
395,0
396,0
397,0
398,1
399,0
400,1
401,1
402,1
403,1
404,0
405,1
406,0
407,0
408,0
409,1
410,1
411,1
412,1
413,1
414,0
415,0
416,0
417,0
418,0
419,0
420,1
421,0
422,1
423,1
424,1
425,0
426,1
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,1
439,0
440,0
441,0
442,0
443,1
444,1
445,0
446,0
447,0
448,1
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,1
457,0
458,0
459,0
460,0
461,1
462,0
463,1
464,1
465,0
466,0
467,0
468,0
469,1
470,1
471,0
472,0
473,1
474,1
475,1
476,0
477,1
478,0
479,1
480,1
481,0
482,0
483,0
484,0
